candidate_name,end_date_numeric,end_date,average_pct,state,pct
Donald Trump,19951,2024-08-16,44.22222222222222, Overall,0.44222222222222224
Donald Trump,19956,2024-08-21,45, Overall,0.45
Donald Trump,19957,2024-08-22,43, Overall,0.43
Donald Trump,19958,2024-08-23,46.5, Overall,0.465
Donald Trump,19961,2024-08-26,46.55, Overall,0.46549999999999997
Donald Trump,19962,2024-08-27,47.5, Overall,0.475
Donald Trump,19969,2024-09-03,48.385714285714286, Overall,0.4838571428571429
Donald Trump,19971,2024-09-05,45.675, Overall,0.45675
Donald Trump,19972,2024-09-06,47, Overall,0.47
Donald Trump,19979,2024-09-13,45, Overall,0.45
Donald Trump,19981,2024-09-15,46, Overall,0.46
Donald Trump,19982,2024-09-16,45.875454545454545, Overall,0.45875454545454547
Donald Trump,19983,2024-09-17,47.333333333333336, Overall,0.4733333333333334
Donald Trump,19984,2024-09-18,44.9, Overall,0.449
Donald Trump,19987,2024-09-21,47.333333333333336, Overall,0.4733333333333334
Donald Trump,19989,2024-09-23,47.5, Overall,0.475
Donald Trump,19990,2024-09-24,48.09090909090909, Overall,0.48090909090909095
Donald Trump,19991,2024-09-25,45.825, Overall,0.45825000000000005
Donald Trump,19992,2024-09-26,46.166666666666664, Overall,0.46166666666666667
Donald Trump,19995,2024-09-29,47.6, Overall,0.47600000000000003
Donald Trump,19998,2024-10-02,44.7, Overall,0.447
Donald Trump,20004,2024-10-08,46.357142857142854, Overall,0.4635714285714285
Donald Trump,20005,2024-10-09,45.099999999999994, Overall,0.45099999999999996
Donald Trump,20006,2024-10-10,48, Overall,0.48
Donald Trump,20010,2024-10-14,50, Overall,0.5
Donald Trump,20011,2024-10-15,49, Overall,0.49
Donald Trump,20012,2024-10-16,45.3, Overall,0.45299999999999996
Kamala Harris,19664,2023-11-03,44, Overall,0.44
Kamala Harris,19769,2024-02-16,40.46666666666667, Overall,0.4046666666666667
Kamala Harris,19772,2024-02-19,39.599999999999994, Overall,0.39599999999999996
Kamala Harris,19777,2024-02-24,43.6, Overall,0.436
Kamala Harris,19855,2024-05-12,42, Overall,0.42
Kamala Harris,19856,2024-05-13,42.5, Overall,0.425
Kamala Harris,19915,2024-07-11,44.5, Overall,0.445
Kamala Harris,19916,2024-07-12,45.5, Overall,0.455
Kamala Harris,19917,2024-07-13,39.5, Overall,0.395
Kamala Harris,19919,2024-07-15,39.5, Overall,0.395
Kamala Harris,19920,2024-07-16,46, Overall,0.46
Kamala Harris,19922,2024-07-18,42, Overall,0.42
Kamala Harris,19924,2024-07-20,42, Overall,0.42
Kamala Harris,19927,2024-07-23,46.15, Overall,0.46149999999999997
Kamala Harris,19928,2024-07-24,46.833333333333336, Overall,0.4683333333333334
Kamala Harris,19929,2024-07-25,46, Overall,0.46
Kamala Harris,19930,2024-07-26,46.2, Overall,0.462
Kamala Harris,19932,2024-07-28,46.82666666666667, Overall,0.46826666666666666
Kamala Harris,19934,2024-07-30,47.333333333333336, Overall,0.4733333333333334
Kamala Harris,19936,2024-08-01,47, Overall,0.47
Kamala Harris,19940,2024-08-05,48, Overall,0.48
Kamala Harris,19943,2024-08-08,47, Overall,0.47
Kamala Harris,19944,2024-08-09,46.666666666666664, Overall,0.4666666666666666
Kamala Harris,19946,2024-08-11,47.714285714285715, Overall,0.47714285714285715
Kamala Harris,19949,2024-08-14,45.7875, Overall,0.45787500000000003
Kamala Harris,19950,2024-08-15,45.96, Overall,0.4596
Kamala Harris,19951,2024-08-16,47, Overall,0.47
Kamala Harris,19956,2024-08-21,46, Overall,0.46
Kamala Harris,19957,2024-08-22,45.05, Overall,0.45049999999999996
Kamala Harris,19958,2024-08-23,47, Overall,0.47
Kamala Harris,19961,2024-08-26,49.1, Overall,0.491
Kamala Harris,19962,2024-08-27,48.5, Overall,0.485
Kamala Harris,19969,2024-09-03,47.67142857142857, Overall,0.4767142857142857
Kamala Harris,19971,2024-09-05,47.7, Overall,0.47700000000000004
Kamala Harris,19972,2024-09-06,45, Overall,0.45
Kamala Harris,19979,2024-09-13,46, Overall,0.46
Kamala Harris,19981,2024-09-15,49, Overall,0.49
Kamala Harris,19982,2024-09-16,49.67090909090909, Overall,0.49670909090909093
Kamala Harris,19983,2024-09-17,49.666666666666664, Overall,0.49666666666666665
Kamala Harris,19984,2024-09-18,46.95, Overall,0.46950000000000003
Kamala Harris,19987,2024-09-21,44.5, Overall,0.445
Kamala Harris,19989,2024-09-23,49, Overall,0.49
Kamala Harris,19990,2024-09-24,48.81818181818182, Overall,0.4881818181818182
Kamala Harris,19991,2024-09-25,48.725, Overall,0.48725
Kamala Harris,19992,2024-09-26,47.5, Overall,0.475
Kamala Harris,19995,2024-09-29,48.8, Overall,0.488
Kamala Harris,19998,2024-10-02,46.8, Overall,0.46799999999999997
Kamala Harris,20004,2024-10-08,46.214285714285715, Overall,0.46214285714285713
Kamala Harris,20005,2024-10-09,48.85, Overall,0.4885
Kamala Harris,20006,2024-10-10,47, Overall,0.47
Kamala Harris,20010,2024-10-14,49, Overall,0.49
Kamala Harris,20011,2024-10-15,47, Overall,0.47
Kamala Harris,20012,2024-10-16,48.55, Overall,0.4855
